uid,texture_compatible,motion
0000c32fde7f45efb8d14e8ba737d50c,1,0
0002e50309b44e409c96f440202d90b3,1,0
0004492ea54f48b2a41e0b922e5402b0,1,0
0005033c6f754d00899127df5e2388f7,1,0
0005d5eb0eb847648bf2e76f6931ed48,1,0
0005df571e71437991594d0affec9c2b,1,0
00064e6f6eec4fd7acf27091b8de4d70,0,1
00082091376e4e3fb522e0bea81f597e,1,0
000ad01de2b7492cb41d3c0d3cd35624,0,1
000bf1c35ca5475c97b0555b0948b96f,1,0
000cede66cd7444083372b7377950419,1,0
000f53860bb94b918fb6c30c007af35a,0,1
00115d6b18484309917e38984539f847,1,0
0011e400ad1042cfb6a990376240b091,1,0
001337c586f34fe7b3c7948d577229a3,1,0
00138fd8e73f46d6827e9849d0ed86bd,1,0
0015c579cfa440a7a2bd0a3f14395f05,0,1
0016f1dc1bd7457b9be77b468d52577d,1,0
00181ffde8b7495493ca3eb12dd70889,1,0
001962e5ec574d5292e13a13ac03edd6,1,0
0019c537f5884ce08907a07e72bd3b64,1,0
001af60e5741419cb7a5767e17c270b9,1,0
001fe8adb25a49d0b2650a5401dde019,1,0
002089dd817c463bbd3f37b84904eb9a,1,0
00239e612cd443bf8cae46b807560992,1,0
00260c91fd6f49758ada2a6a5b46f8db,0,1
0028b77436394fd7963c013e04e69e70,1,0
0029c9970f35416b9ddb5e7cdfcf00e8,1,0
002a90cbf12941b792f9685546a7502c,1,0
002aec05c41342dea61828f67d340d2d,1,0
002b9cd069ea46d0bf3b27548104dc5b,0,1
003318fdca8b4dca97e9d09ef8f20952,1,0
003715596f13472c877ee3a622782d5a,1,0
0039e70f459d45989290a57e887b6caa,1,0
003d7fcf881743ed914fc51545ded1f5,1,0
003ebdf86df345d39dc166563229fb85,1,0
003ecc6b7b194fa5b17a117ebc1c7a36,1,0
003f76fbaedf4074b877fcac7f8d52b7,0,1
003f89af59ce460baafe52013e861b66,0,1
003fc7d2e4de41b6bb76d294d00a6357,1,0
0042c4c26c1f49fd9e089db02d6d59d1,1,0
00452de0ad4342daa0e139ad70ed2232,1,0
0047fa5e44334d3e9bd171ad2bf95ff5,1,0
00490624bd754f76bf5a8ea603496c84,0,1
00497b681f1d4e88b24911c086b7b6f6,1,0
004c68337c6c462aae23238fa2ae5aa4,1,0
004d02243a5b4117afc4baa45eb1eba0,0,1
004d1e9e13934e319094151a4fad823f,1,0
004d68143e1a4df88e136dbc0a05f181,0,1
004f0299772641c6a1d9bf5f667a71cf,1,0
004fb4d72f6c4e55a15b9025a868d1a3,1,0
0050472e2b0d49dc9c1f4e5412d9479d,1,0
0050f6e268c14500ba3c56a9388a4d93,0,1
0050f80cf1514432b9ea33a4ea993341,1,0
005557e9918c49739ce96b72a8efe63d,1,0
005742f64af0439595644d6227be8680,1,0
005b4d8c7cb7419eb61746bd50441cd6,0,1
005f0ff179e440928441f38fb2e32b9c,1,0
00616f328a8b4b5a8e689f61e70758b6,0,1
0061bfce34004900a726a881942b3bdc,1,1
006387f76f684e1dab80d0a4bb705809,1,0
00642d469eaa4b8f9a86abd68e1cc769,1,0
0066791a9c624b9681ceaf02fe15a02b,1,0
006691f882ae4d24bd7def5b6c707e21,1,0
0067305593d74c668e93382de8e38f4d,1,0
00676dfff79c4299bc05ebbb3b328d39,1,0
0074ee273aaf4753b00215b5d2914007,1,0
007b3198be5741218750bd836559047a,1,0
007c76ffa8dc4493b1f1018cdde51e2d,1,0
007d333aee494fcaba4a3f42a608c805,1,0
00803d617661467b9461f40e2af1b59e,1,0
0081d3feac874f99902c439d0853468e,1,0
0089429d1ed6415caeebb59b81708c17,1,0
008a6aa930b44ad6a7aedd29a8cfe594,1,0
008be41361a44dfebe0d2003523e8f85,1,1
008c5e7b77f74be99e41cfdf04fbde0d,1,0
00900a4e33df42e9bd3abfdb9e545866,1,0
00905dcdcd594d83849de0ee27570211,1,0
00908ee204ba44dcb45253d714b57124,0,1
009220969eb74e10959097589050dd6c,1,0
0092cdf4945a40f58cc97fea84f4ce8f,1,0
00937cfb20584afb9ab14101f366a751,0,1
00944cc545534f42bc51b3be3ce2f8b2,0,1
00961704a24e415694b3f27f41178539,1,0
009b84bc85474aa3b4203b055c9a4695,1,0
009b9c08b00541a08a026e20c7045c77,1,0
009e14ff6c5943358ebab7ff9654b8b7,1,0
009e87f84e764304975d98ecce858392,1,0
009f35bac6954cdba40318939489501d,1,0
009fc4bbc1184fca8fb6d6f15359d835,1,0
00a20e866da14b43a741d9095e49ff15,1,0
00a50f092405425fa2b12abfc8856482,1,0
00a514dac8dc43518a5b013bd3dcf749,1,0
00a66884dacb498b85701acd1cc77c5e,1,0
00a81e40abb74c61bffe34e37516d48e,1,1
00ab18b0840d4339979d961f5dfbb57f,0,1
00ada4b50a89469cbb14c7b60bff993c,1,0
00aea6c285a5485aa15b7cf5473dbac4,1,0
00aee5c2fef743d69421bb642d446a5b,1,0
00aef80ade1e42c7a019ce8c7bcaa44d,1,0
00b08695f8854111bb14b94e22512940,1,0
00b100ac52b34afaa95ed4000cd9a4bb,1,0
00b45680f31d47819cee2bab91643195,0,1
00b483f284a542899b94e99831f1ad1c,1,0
00b4fc6b5b8e41a59e83308fb347b1b2,0,1
00b6c692e48b4831983868458c996117,1,0
00b9f134359645148c3a5113b8449d1d,0,1
00ba8f3793154c0e9840cd672c90a952,1,0
00baaee4d9354a45bbfc5665ff1a98d4,1,0
00bafb51a08946ffbc35d49fd1946f17,1,0
00bd5d0a02714647ab4e54c8af84acc8,1,0
00bf94f9be9346d5bf6fcdb88e0f68c3,1,0
00c06bb9f9f2419583cbe7a11c0dc8bb,1,0
00c115fe396a40d287d0d9940ff8d337,1,0
00c2cd5dd3c147deab6a0b3b3cddb5a0,1,0
00c2dd110f22488bb663a19ef09044d2,1,0
00c35e3215f74e4f9e33b6b7a14a87cf,1,0
00c3914755b649eb877c7dad3b488f63,1,0
00c6c9da8a3943e8b096c1a3134d1d8d,1,0
00c747ee48644e93b105befebcd49dc8,1,0
00cc0d1d3a7e493eae7c21f5ce384a56,1,0
00d1d6bcd21d4e8ea19fb7ab89bfc5ed,0,1
00d3e99629da41fb8173b81685822c13,1,0
00d72fb03dfb42c197d130a2f55f5c69,1,0
00d81f676cca44f999df54764febc574,1,0
00d8749e91fc465eb196aa76e809887c,1,0
00dbf795d1494d778ceab030b90a4055,1,0
00deafaa1c06485f9099260c1800b216,0,1
00dfee50afad4153880d3a04d9a040aa,1,0
00e0d1e3c8ba4816aaa06f37c7a5d472,1,0
00e37627bf33401ca099d94e8c3286c5,1,0
00e7a6daedd24e429858182a334f3f88,0,1
00e8558577e34451be61a4180e2e3eb1,1,0
00e8eea220a64f6e975fc79a05cf21ed,1,0
00e9a255122c4876835f135b8f0c27ea,0,1
00e9b5ddd9164a44a877d8320f5a6201,1,0
00e9bbdb92044c979e4fffb57b479392,1,0
00ea25ccad8344cbaedc89d70bb75a49,0,1
00eaf6efd0f64a13a66d08cf81d12909,1,0
00eb47a079e94040a28b989a8b5ac79e,0,1
00f1d24701bd4b80bb191a3cdf4fbee5,0,1
00f3ab88653f46cd85a01f8818815638,1,0
00fa05ae10834647a8bf00c5a5a899a1,1,0
00fb52fc0fd848fbb8f2dff96af3351c,1,0
00fcd73a11994171a81b2278b643eb8a,1,0
00fd99e778c244c3bd3b65f99dad7cb2,1,0
00ff6f491b1c4a74a5f90deb51c9a686,1,0
0105002382024c2a8c12ee2a9b778187,1,0
01051d98271941bd971018f50e31fc2f,0,1
01051e37244c4b988d52e444d2523b5b,1,0
0105d7fa4d7d4b509c1d9e5d632f9cf9,1,0
0106547bf0264b57be1920dd4d4b7267,0,1
0106b457fce844a894cca8c7012b74ce,0,1
01096930a70f4a3aaf74864e4d423d3a,0,1
01098ad7973647a9b558f41d2ebc5193,1,0
010aa129b9c14ba89d0df607fc03185f,1,0
010bb19da3d54f5996de42d5d08480ce,1,0
010d38e5d8494df3bb78949c68428338,1,0
010d7675419041f39b988c72650ea924,0,1
010e1d9c97474861a2366bc2cbf094e8,1,0
010e8b26149c400b87fd4848f34d8982,0,1
010fea0fb44442bc8d0c6888b9d03f18,1,0
0116ca09e0874e9b814a5fc6495e59e2,1,0
01176c26434844c49a928baecb3c93db,1,0
0118592420884f5192b7a7d888df189b,1,0
0118607beaed4571b94615a611bab570,1,0
0119f385ee334603ae491f89a8ca248f,1,0
011c33c121284bc88bb765a85511dae1,1,0
011c4269eecc4ecf968999afd5b33417,1,0
011ebf82993745b89f48405820145c35,1,0
01248b992e5949caae4fce4c572414a2,1,0
01255f530ce545fd9e8c3160ef460c60,1,0
0126864d338542aeb149aea91af07acb,1,1
